AuthorKey,FullNames,Num_SBU_Papers_since2023,Num_Letters,Num_PeerReviewed,Num_Preprints,DOIs
drees_a,"Drees, A.",25,3,17,5,; 10.1007/JHEP08(2025)075; 10.1016/j.physletb.2023.138101; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8; 10.1140/epjc/s10052-024-12987-0; 10.1140/epjc/s10052-024-13003-1; 10.1140/epjc/s10052-024-13115-8; 10.1140/epjc/s10052-024-13416-y
gal_c,"Gal, C.",22,3,15,4,; 10.1016/j.physletb.2023.138101; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8; 10.1140/epjc/s10052-024-12987-0; 10.1140/epjc/s10052-024-13003-1; 10.1140/epjc/s10052-024-13115-8
park_s,"Park, S.",22,3,15,4,; 10.1016/j.physletb.2023.138101; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8; 10.1140/epjc/s10052-024-12987-0; 10.1140/epjc/s10052-024-13003-1; 10.1140/epjc/s10052-024-13115-8
hemmick_t,"Hemmick, T., Hemmick, T.K., Hemmick, Thomas",22,2,14,5,; 10.1007/JHEP08(2025)075; 10.1016/j.nima.2024.170171; 10.1088/1748-0221/18/06/C06024; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
deshpande_a,"Deshpande, A.",22,3,15,4,; 10.1016/j.physletb.2023.138101; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8; 10.1140/epjc/s10052-024-12987-0; 10.1140/epjc/s10052-024-13003-1; 10.1140/epjc/s10052-024-13115-8
corliss_r,"Corliss, R., Corliss, Ross",21,2,14,5,; 10.1007/JHEP08(2025)075; 10.1016/j.nima.2024.170171; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
david_g,"David, G., David, Gabor",21,2,14,5,; 10.1007/JHEP08(2025)075; 10.1016/j.nima.2024.170171; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
esha_r,"Esha, R., Esha, Roli",21,2,14,5,; 10.1007/JHEP08(2025)075; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064905; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
firak_d,"Firak, D.",20,2,13,5,; 10.1007/JHEP08(2025)075; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
garg_p,"Garg, P.",19,2,11,5,; 10.1007/JHEP08(2025)075; 10.1088/1748-0221/18/06/C06024; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
ji_z,"Ji, Z.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
dehmelt_k,"Dehmelt, K.",18,2,11,5,; 10.1007/JHEP08(2025)075; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
